N-NUMBER,AIRLINE,MANUFACTURER,MODEL,SEATS
598AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
599AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
600TR,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
601AN,AMERICAN AIRLINES INC,BOEING,757-223,178
601LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
602AN,AMERICAN AIRLINES INC,BOEING,757-223,178
602CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
602LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
603AA,AMERICAN AIRLINES INC,BOEING,757-223,178
603CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
604AA,AMERICAN AIRLINES INC,BOEING,757-223,178
604CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
604LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
605AA,AMERICAN AIRLINES INC,BOEING,757-223,178
605CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
605LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
606AA,AMERICAN AIRLINES INC,BOEING,757-223,178
606CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
606LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
606SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
607AM,AMERICAN AIRLINES INC,BOEING,757-223,178
607CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
607LR,DELTA AIR LINES INC,BOMBARDIER INC,CL600-2D24,22
607SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
608CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
608SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
609CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
609SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
610CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
610WN,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
611SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
612CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
612DL,DELTA AIR LINES INC,BOEING,757-232,178
612SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
613CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
613SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
61304,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
614CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
614SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
615CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
615SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
616CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
616SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
617CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
617SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
618WN,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
619CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
619SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
61940,SOUTHWEST AIRLINES INC,CESSNA,172M,4
620CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
621CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
622CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
623CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
623NW,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-32,116
624CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
624SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
625CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
626CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
626TX,CONTINENTAL AIRLINES INC,DOUGLAS,DC-9-14,85
627CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
628CZ,DELTA AIR LINES INC,EMBRAER,ERJ170-200LR,88
629CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
629DL,DELTA AIR LINES INC,BOEING,757-232,178
629SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
630CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
630DL,DELTA AIR LINES INC,BOEING,757-232,178
630WN,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
631CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
631DL,DELTA AIR LINES INC,BOEING,757-232,178
631SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
632CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
632DL,DELTA AIR LINES INC,BOEING,757-232,178
632SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
633CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
633SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
63305,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
634CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
634SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
635CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
636CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
637CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
637SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
638CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
638SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
639AA,AMERICAN AIRLINES INC,BOEING,757-223,178
639CZ,DELTA AIR LINES INC,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,80
639SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
640A,AMERICAN AIRLINES INC,BOEING,757-223,178
640DL,DELTA AIR LINES INC,BOEING,757-232,178
640SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
641SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
642DL,DELTA AIR LINES INC,BOEING,757-232,178
642WN,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
643DL,DELTA AIR LINES INC,BOEING,757-232,178
643SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
644DL,DELTA AIR LINES INC,BOEING,757-232,178
644SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
645SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
646AA,AMERICAN AIRLINES INC,BOEING,757-223,178
646DL,DELTA AIR LINES INC,BOEING,757-232,178
646SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
647DL,DELTA AIR LINES INC,BOEING,757-232,178
647SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
648DL,DELTA AIR LINES INC.,BOEING,757-232,178
648SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
649AA,AMERICAN AIRLINES INC,BOEING,757-223,178
649DL,DELTA AIR LINES INC,BOEING,757-232,178
649SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
649UA,UNITED AIR LINES INC,BOEING,767-322,330
650DL,DELTA AIR LINES INC,BOEING,757-232,178
650SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
651DL,DELTA AIR LINES INC,BOEING,757-232,178
651SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
651UA,UNITED AIR LINES INC,BOEING,767-322,330
652DL,DELTA AIR LINES INC,BOEING,757-232,178
652SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
652UA,UNITED AIR LINES INC,BOEING,767-322,330
653A,AMERICAN AIRLINES INC,BOEING,757-223,178
653SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
653UA,UNITED AIR LINES INC,BOEING,767-322,330
654A,AMERICAN AIRLINES INC,BOEING,757-223,178
654DL,DELTA AIR LINES INC,BOEING,757-232,178
654SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
655AA,AMERICAN AIRLINES INC,BOEING,757-223,178
655DL,DELTA AIR LINES INC,BOEING,757-232,178
655WN,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
656AA,AMERICAN AIRLINES INC,BOEING,757-223,178
656DL,DELTA AIR LINES INC,BOEING,757-232,178
656SW,SOUTHWEST AIRLINES CO,BOEING,737-3H4,149
657AM,AMERICAN AIRLINES INC,BOEING,757-223,178
657SW,SOUTHWEST AIRLINES CO,BOEING,737-3L9,149
658AA,AMERICAN AIRLINES INC,BOEING,757-223,178
658SW,SOUTHWEST AIRLINES CO,BOEING,737-3L9,149
659AA,AMERICAN AIRLINES INC,BOEING,757-223,178
659CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2C10,80
659SW,SOUTHWEST AIRLINES CO,BOEING,737-301,149
660AM,AMERICAN AIRLINES INC,BOEING,757-223,178
66051,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
66056,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
66057,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
661AA,AMERICAN AIRLINES INC,BOEING,757-223,178
662AA,AMERICAN AIRLINES INC,BOEING,757-223,178
662UA,UNITED AIR LINES INC,BOEING,767-322,330
663AM,AMERICAN AIRLINES INC,BOEING,757-223,178
663UA,UNITED AIR LINES INC,BOEING,767-322,330
664AA,AMERICAN AIRLINES INC,BOEING,757-223,178
664UA,UNITED AIR LINES INC,BOEING,767-322,330
665AA,AMERICAN AIRLINES INC,BOEING,757-223,178
666UA,UNITED AIR LINES INC,BOEING,767-322,330
667UA,UNITED AIR LINES INC,BOEING,767-322,330
667US,DELTA AIR LINES INC,BOEING,747-451,450
668AA,AMERICAN AIRLINES INC,BOEING,757-223,178
668CA,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2C10,80
668UA,UNITED AIR LINES INC,BOEING,767-322,330
668US,DELTA AIR LINES INC,BOEING,747-451,450
669AA,AMERICAN AIRLINES INC,BOEING,757-223,178
669UA,UNITED AIR LINES INC,BOEING,767-322,330
670AA,AMERICAN AIRLINES INC,BOEING,757-223,178
670DN,DELTA AIR LINES INC,BOEING,757-232,178
670MC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
670UA,UNITED AIR LINES INC,BOEING,767-322,330
670US,DELTA AIR LINES INC,BOEING,747-451,450
6700,DELTA AIR LINES INC,BOEING,757-232,178
6701,DELTA AIR LINES INC,BOEING,757-232,178
6702,DELTA AIR LINES INC,BOEING,757-232,178
6703D,DELTA AIR LINES INC,BOEING,757-232,178
6704Z,DELTA AIR LINES INC,BOEING,757-232,178
6705Y,DELTA AIR LINES INC,BOEING,757-232,178
67052,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
67058,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
6706Q,DELTA AIR LINES INC,BOEING,757-232,178
6707A,DELTA AIR LINES INC,BOEING,757-232,178
6708D,DELTA AIR LINES INC,BOEING,757-232,178
6709,DELTA AIR LINES INC,BOEING,757-232,178
671DN,DELTA AIR LINES INC,BOEING,757-232,178
671MC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
671UA,UNITED AIR LINES INC,BOEING,767-322,330
6710E,DELTA AIR LINES INC,BOEING,757-232,178
6711M,DELTA AIR LINES INC,BOEING,757-232,178
6712B,DELTA AIR LINES INC,BOEING,757-232,178
6713Y,DELTA AIR LINES INC,BOEING,757-232,178
67134,CONTINENTAL AIRLINES INC,BOEING,757-224,178
6714Q,DELTA AIR LINES INC,BOEING,757-232,178
6715C,DELTA AIR LINES INC,BOEING,757-232,178
67158,CONTINENTAL AIRLINES INC,BOEING,767-224,255
6716C,DELTA AIR LINES INC,BOEING,757-232,178
67171,DELTA AIR LINES INC,BOEING,757-232,178
672AA,AMERICAN AIRLINES INC,BOEING,757-223,178
672DL,DELTA AIR LINES INC,BOEING,757-232,178
672UA,UNITED AIR LINES INC,BOEING,767-322,330
673AN,AMERICAN AIRLINES INC,BOEING,757-223,178
673DL,DELTA AIR LINES INC,BOEING,757-232,178
673UA,UNITED AIR LINES INC,BOEING,767-322,330
674AN,AMERICAN AIRLINES INC,BOEING,757-223,178
674DL,DELTA AIR LINES INC,BOEING,757-232,178
674UA,UNITED AIR LINES INC,BOEING,767-322,330
675AN,AMERICAN AIRLINES INC,BOEING,757-223,178
675MC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
675NW,DELTA AIR LINES INC,BOEING,747-451,450
675UA,UNITED AIR LINES INC,BOEING,767-322,330
676AN,AMERICAN AIRLINES INC,BOEING,757-223,178
676DL,DELTA AIR LINES INC,BOEING,757-232,178
676MC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
676SW,SOUTHWEST AIRLINES CO,BOEING,737-3A4,149
676UA,UNITED AIR LINES INC,BOEING,767-322,330
677AN,AMERICAN AIRLINES INC,BOEING,757-223,178
677DL,DELTA AIR LINES INC,BOEING,757-232,178
677MC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
677UA,UNITED AIR LINES INC,BOEING,767-322,330
678AN,AMERICAN AIRLINES INC,BOEING,757-223,178
678DL,DELTA AIR LINES INC,BOEING,757-232,178
679AA,SOUTHWEST AIRLINES CO,BOEING,737-3A4,149
679AN,AMERICAN AIRLINES INC,BOEING,757-223,178
679DA,DELTA AIR LINES INC,BOEING,757-232,178
680AN,AMERICAN AIRLINES INC,BOEING,757-223,178
680DA,DELTA AIR LINES INC,BOEING,757-232,178
68061,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
681AA,AMERICAN AIRLINES INC,BOEING,757-223,178
68155,CONTINENTAL AIRLINES INC,BOEING,767-224,255
68159,CONTINENTAL AIRLINES INC,BOEING,767-224,255
68160,CONTINENTAL AIRLINES INC,BOEING,767-224,255
682AA,AMERICAN AIRLINES INC,BOEING,757-223,178
682SW,SOUTHWEST AIRLINES CO,BOEING,737-3Y0,149
683A,AMERICAN AIRLINES INC,BOEING,757-223,178
684AA,AMERICAN AIRLINES INC,BOEING,757-223,178
685AA,AMERICAN AIRLINES INC,BOEING,757-223,178
685DA,DELTA AIR LINES INC,BOEING,757-232,178
686AA,AMERICAN AIRLINES INC,BOEING,757-223,178
686DA,DELTA AIR LINES INC,BOEING,757-232,178
686SW,SOUTHWEST AIRLINES COMPANY,BOEING,737-317,149
687AA,AMERICAN AIRLINES INC,BOEING,757-223,178
687DL,DELTA AIR LINES INC,BOEING,757-232,178
688AA,AMERICAN AIRLINES INC,BOEING,757-223,178
688DL,DELTA AIR LINES INC,BOEING,757-232,178
689AA,AMERICAN AIRLINES INC,BOEING,757-223,178
689DL,DELTA AIR LINES INC,BOEING,757-232,178
689SW,SOUTHWEST AIRLINES CO,BOEING,737-3Q8,149
690AA,AMERICAN AIRLINES INC,BOEING,757-223,178
690DL,DELTA AIR LINES INC,BOEING,757-232,178
69020,CONTINENTAL AIRLINES INC,BOEING,777-224,400
69059,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
69063,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
691AA,AMERICAN AIRLINES INC,BOEING,757-223,178
69154,CONTINENTAL AIRLINES INC,BOEING,767-224,255
692AA,AMERICAN AIRLINES INC,BOEING,757-223,178
692DL,DELTA AIR LINES INC,BOEING,757-232,178
692SW,SOUTHWEST AIRLINES CO,BOEING,737-3T5,149
693AA,AMERICAN AIRLINES INC,BOEING,757-223,178
693DL,DELTA AIR LINES INC,BOEING,757-232,178
69333,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
694AN,AMERICAN AIRLINES INC,BOEING,757-223,178
694DL,DELTA AIR LINES INC,BOEING,757-232,178
694SW,SOUTHWEST AIRLINES CO,BOEING,737-3T5,149
695AN,AMERICAN AIRLINES INC,BOEING,757-223,178
695DL,DELTA AIR LINES INC,BOEING,757-232,178
696AN,AMERICAN AIRLINES INC,BOEING,757-223,178
696DL,DELTA AIR LINES INC,BOEING,757-232,178
697AN,AMERICAN AIRLINES INC,BOEING,757-223,178
697DL,DELTA AIR LINES INC,BOEING,757-232,178
697SW,SOUTHWEST AIRLINES CO,BOEING,737-3TO,149
698AN,AMERICAN AIRLINES INC,BOEING,757-223,178
698DL,DELTA AIR LINES INC,BOEING,757-232,178
699AN,AMERICAN AIRLINES INC,BOEING,757-223,178
699DL,DELTA AIR LINES INC,BOEING,757-232,178
700GS,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
701DN,DELTA AIR LINES INC,BOEING,777-232LR,442
701GS,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
702DN,DELTA AIR LINES INC,BOEING,777-232LR,442
703DN,DELTA AIR LINES INC,BOEING,777-232LR,442
703SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
70330,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
70353,CONTINENTAL AIRLINES INC,BOEING,737-3TO,149
704DK,DELTA AIR LINES INC,BOEING,777-232LR,442
704SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
70401,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
70425,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
705SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
70504,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
70524,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
706DN,DELTA AIR LINES INC,BOEING,777-232LR,442
706SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
707DN,DELTA AIR LINES INC,BOEING,777-232LR,442
707SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
708DN,DELTA AIR LINES INC,BOEING,777-232LR,442
708SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
709DN,DELTA AIR LINES INC,BOEING,777-232LR,442
709SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
710DN,DELTA AIR LINES INC,BOEING,777-232LR,442
710SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
711HK,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
712SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
713SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
714CB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
71411,CONTINENTAL AIRLINES INC,BOEING,737-924,191
715SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
716SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
717SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
718SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
719SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
720SW,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2B19,55
720WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
723SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
724SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
72405,CONTINENTAL AIRLINES INC,BOEING,737-924,191
725SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
726SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
727SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
728SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
729SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
730SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
731SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
73152,CONTINENTAL AIRLINES INC,BOEING,767-224,255
732SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
73276,CONTINENTAL AIRLINES INC,BOEING,737-824,149
73278,CONTINENTAL AIRLINES INC,BOEING,737-824,149
733SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
734SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
73406,CONTINENTAL AIRLINES INC,BOEING,737-924,191
735SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
736SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
737JW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
738CB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
739GB,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
740SW,SOUTHWEST AIRLINES INC,BOEING,737-7H4,140
741SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
742SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
743SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
744SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
745SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
746SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
747SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
748SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
74856,CONTINENTAL AIRLINES INC,BOEING,757-324,275
749SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
750AN,AMERICAN AIRLINES INC,BOEING,777-223,440
750AT,DELTA AIR LINES INC,BOEING,757-212,178
750NW,DELTA AIR LINES INC,DOUGLAS,DC-9-41,85
750SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
751AN,AMERICAN AIRLINES INC,BOEING,777-223,440
751AT,DELTA AIR LINES INC,BOEING,757-212,178
751SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
7512A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7518A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7519A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
752AN,AMERICAN AIRLINES INC,BOEING,777-223,440
752AT,DELTA AIR LINES INC,BOEING,757-212,178
752SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
7520A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7521A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7526A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7528A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
753AN,AMERICAN AIRLINES INC,BOEING,777-223,440
753NW,DELTA AIR LINES INC,DOUGLAS,DC-9-41,85
753SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
7533A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
7534A,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
754AN,AMERICAN AIRLINES INC,BOEING,777-223,440
754NW,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-41,116
754SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
75410,CONTINENTAL AIRLINES INC,BOEING,737-924,191
75425,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75426,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75428,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75429,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75432,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75433,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75435,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
75436,CONTINENTAL AIRLINES INC,BOEING,737-924ER,191
755AN,AMERICAN AIRLINES INC,BOEING,777-223,440
755SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
756AM,AMERICAN AIRLINES INC,BOEING,777-223,440
756NW,DELTA AIR LINES INC,DOUGLAS,DC-9-41,85
756SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
757AN,AMERICAN AIRLINES INC,BOEING,777-223,440
757AT,DELTA AIR LINES INC,BOEING,757-212,178
757LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
758AN,AMERICAN AIRLINES INC,BOEING,777-223,440
758NW,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-41,116
758SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
75851,CONTINENTAL AIRLINES INC,BOEING,757-324,275
75853,CONTINENTAL AIRLINES INC,BOEING,757-324,275
75854,CONTINENTAL AIRLINES INC,BOEING,757-324,275
75858,CONTINENTAL AIRLINES INC,BOEING,757-324,275
759AN,AMERICAN AIRLINES INC,BOEING,777-223,440
759GS,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
760AN,AMERICAN AIRLINES INC,BOEING,777-223,440
760NC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
760SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
76021,CONTINENTAL AIRLINES INC,BOEING,777-224,400
76062,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
76064,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
76065,CONTINENTAL AIRLINES INC,BOEING,767-424ER,292
761AJ,AMERICAN AIRLINES INC,BOEING,777-223,440
761NC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
761RR,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
76151,CONTINENTAL AIRLINES INC,BOEING,767-224,255
76153,CONTINENTAL AIRLINES INC,BOEING,767-224,255
76156,CONTINENTAL AIRLINES INC,BOEING,767-224,255
762AN,AMERICAN AIRLINES INC,BOEING,777-223,440
762NC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
762SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
76200,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
76201,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
76202,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
76254,CONTINENTAL AIRLINES INC,BOEING,737-824,149
763SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,140
764NC,DELTA AIR LINES INC,MCDONNELL DOUGLAS,DC-9-51,139
